date,daily-atr,close,spike,doji,spike-doji,doji-v,spike-v,spike-doji-v,long,short
2024-09-04T08:36:00Z,,1.10551,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:37:00Z,,1.10545,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:38:00Z,,1.10557,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:39:00Z,,1.10576,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:40:00Z,,1.10561,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:41:00Z,,1.10565,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:42:00Z,,1.10571,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T08:43:00Z,,1.10553,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:44:00Z,,1.10567,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:45:00Z,,1.10567,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T08:46:00Z,,1.1057,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T08:47:00Z,,1.10575,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:48:00Z,,1.10566,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:49:00Z,,1.10558,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:50:00Z,,1.1055,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:51:00Z,,1.10552,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T08:52:00Z,,1.10542,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:53:00Z,,1.10538,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:54:00Z,,1.10548,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T08:55:00Z,,1.10544,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:56:00Z,,1.10523,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:57:00Z,,1.10511,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T08:58:00Z,,1.10519,flat,flat,flat,0.0,0.0,0.0,,
